code,class,species
r198,Reptiles,Emys trinacris
r199,Reptiles,Testudo marginata
r202,Reptiles,Trionyx triunguis
r203,Reptiles,Typhlops vermicularis
r206,Reptiles,Vipera ammodytes
r207,Reptiles,Vipera aspis
r208,Reptiles,Vipera berus
r213,Reptiles,Vipera latastei
r217,Reptiles,Vipera seoanei
r218,Reptiles,Vipera ursinii
r219,Reptiles,Dolichophis caspius
r220,Reptiles,Chamaeleo africanus
r221,Reptiles,Dolichophis jugularis
r222,Reptiles,Hemorrhois nummifer
r223,Reptiles,Hemorrhois algirus
r224,Reptiles,Hierophis gyarosensis
r226,Reptiles,Elaphe sauromates
r227,Reptiles,Vipera renardi
r251,Reptiles,Macroprotodon mauritanicus
r253,Reptiles,Psammodromus jeanneae
